mode,n_samples,synthetic,semantic_validation_passed,accuracy,argmax_agreement_poly_vs_fhe,relative_l2,ciphertext_count,samples_per_ciphertext,sample_utilization,slot_utilization,runtime_total_s,runtime_per_sample_s,server_only_runtime_per_sample_s,skip_reason,dense_matrix_mib_total
gl,450,False,True,0.9488888888888889,1.0,1.5400110273468985e-08,1,8192,0.054931640625,0.054931640625,8.99566491600126,0.0199903664800028,0.017842541664463675,,
lightplainmatrix,450,False,True,0.9488888888888889,1.0,1.3222592184726688e-08,2,256,0.87890625,0.87890625,63.273896292055724,0.1406086584267905,0.1404669643512332,,1024.0
gl,1024,True,True,0.94921875,1.0,1.6078050778559584e-08,1,8192,0.125,0.125,9.57619183397037,0.00935174983786169,0.008400664021479542,,
lightplainmatrix,1024,True,True,0.94921875,1.0,1.4846306329643956e-08,4,256,1.0,1.0,120.77777887295815,0.1179470496806232,0.11782409627241464,,1024.0
gl,2048,True,True,0.951171875,1.0,1.5339533946971477e-08,1,8192,0.25,0.25,8.802756999997655,0.004298221191405105,0.003830830281728481,,
lightplainmatrix,2048,True,True,0.951171875,1.0,1.6119918301396873e-08,8,256,1.0,1.0,241.38053837706684,0.11786159100442717,0.117739856832074,,1024.0
gl,4096,True,True,0.945068359375,1.0,1.5249468407423758e-08,1,8192,0.5,0.5,9.020979417022318,0.0022023875529839643,0.0019594088745122917,,
lightplainmatrix,4096,True,True,0.945068359375,1.0,1.433240046193239e-08,16,256,1.0,1.0,496.0360257139837,0.12110254534032805,0.12097932054687277,,1024.0
gl,8192,True,True,0.9454345703125,1.0,1.541780303953407e-08,1,8192,1.0,1.0,9.163500875991303,0.0011185914155262822,0.0009998137359623627,,
lightplainmatrix,8192,True,True,0.9454345703125,1.0,1.2380319697012167e-08,32,256,1.0,1.0,1000.5833382108831,0.12214152077769569,0.12201199287927977,,1024.0
