condition,n_samples,semantic_validation_passed,accuracy,relative_l2,ciphertext_count,slot_or_matrix_utilization,matrix_build_s,key_generation_s,encryption_s_total,linear1_s_total,activation_s_total,linear2_s_total,decryption_s_total,runtime_total_s,runtime_per_sample_s,speedup_vs_ckks_dense,speedup_vs_gl
ckks_pca32_packed_dense,1,True,1.0,3.9741035041002884e-09,1,0.00390625,0.01117612500092946,1.0372097500076052,0.01369283301755786,78.49873270798707,0.04370599999674596,22.634243417007383,0.014398333994904533,102.26478854200104,102.26478854200104,1.0,0.15901874460249515
ckks_pca32_packed_lightplainmatrix,1,True,1.0,3.898206188330535e-07,1,0.00390625,0.011976374982623383,14.06502904201625,0.0142524590191897,19.92578049999429,0.05130116699729115,11.064688959013438,0.017105292004998773,51.3525337909814,51.3525337909814,1.9914263424322196,0.31667411694191017
ckks_pca32_packed_plainmatrix,1,True,1.0,2.0192746016578304e-07,1,0.00390625,0.011871374998008832,14.090390792000107,0.014869375008856878,8.288911707990337,0.0495822090015281,32.93738670798484,0.016947166004683822,94.20435237500351,94.20435237500351,1.0855633095901025,0.17262491467754787
gl_pca32_packed,1,True,1.0,2.2919290950978245e-08,1,0.0001220703125,0.3269369580084458,6.612141874997178,0.4756058750208467,3.159425082994858,4.066415874985978,1.092771833005827,0.4887388749921229,16.262018290988635,16.262018290988635,6.288566813300758,1.0
ckks_pca32_packed_dense,32,True,0.9375,1.8856453330053276e-09,1,0.125,0.011444375006249174,1.042759208008647,0.01398437499301508,78.92556858298485,0.04777195799397305,22.621518583007855,0.015284958994016051,102.69437291598297,3.2091991536244677,1.0,0.15823556179919207
ckks_pca32_packed_lightplainmatrix,32,True,0.9375,4.421807459163864e-08,1,0.125,0.012043708004057407,14.350472040998284,0.014314041007310152,20.11862683299114,0.049323083978379145,11.41788524997537,0.017017250007484108,52.34736320900265,1.6358551002813329,1.9617869290944856,0.3104244568555777
ckks_pca32_packed_plainmatrix,32,True,0.9375,3.70023176217697e-08,1,0.125,0.011302416998660192,14.127215708984295,0.014527000021189451,8.287972499994794,0.04975637499592267,32.966567417024635,0.01688820798881352,94.22552783301217,2.94454774478163,1.0898784573324907,0.17245752998884345
gl_pca32_packed,32,True,0.9375,1.6849088460843825e-08,1,0.00390625,0.3405174580111634,6.521663000021363,0.49193779201596044,3.238829000008991,3.981909624999389,1.1251291660009883,0.5110015829850454,16.2499017919763,0.5078094309992593,6.319691911411446,1.0
ckks_pca32_packed_dense,64,True,0.953125,1.7869625240584509e-09,1,0.25,0.010790749976877123,1.0240907080005854,0.014092583995079622,78.96961433297838,0.04241383299813606,22.68899950000923,0.01383895898470655,102.77745091600809,1.6058976705626264,1.0,0.15718492583728103
ckks_pca32_packed_lightplainmatrix,64,True,0.953125,2.571301546111756e-08,1,0.25,0.010909208009252325,14.241087375005009,0.014334084000438452,20.27974133301177,0.04887583400704898,11.25798058300279,0.017149125022115186,52.1494268749957,0.8148347949218078,1.9708260871662087,0.30978415234939927
