stage,shape,level,rms_plain,max_abs_plain,nan_count,inf_count,comparison,relative_l2,linf,mae,rms_error,max_abs_error,allclose_rtol_1e-5_atol_1e-6,allclose_rtol_1e-4_atol_1e-5,levels
logical_plain.packed_input_blocks,"[2, 256, 32, 32]",,1.048748772366,51.90377141392367,0,0,summary,,,,,,,,
packed_input_blocks,"[2, 256, 32, 32]",6,1.048748772366,51.90377141392367,0,0,gl_layout_plain_vs_encrypted_decrypted,2.8763768677455447e-10,1.493224877080479e-09,2.4056754532253173e-10,3.016596708910125e-10,1.493224877080479e-09,True,True,"[6, 6]"
linear1_block_outputs,"[1, 256, 32, 32]",,2.0339199681973086,30.92907295728157,0,0,logical_plain_vs_gl_layout_plain,2.364571633507196e-16,1.0658141036401503e-14,2.8300110680824103e-16,4.809349461623217e-16,1.0658141036401503e-14,True,True,
linear1_accumulated_output,"[8192, 32]",,2.0339199681973086,30.92907295728157,0,0,logical_plain_vs_gl_layout_plain,2.364571633507196e-16,1.0658141036401503e-14,2.8300110680824103e-16,4.809349461623217e-16,1.0658141036401503e-14,True,True,
activation_output,"[8192, 32]",,1.663963216899342,49.23442026935858,0,0,logical_plain_vs_gl_layout_plain,3.4519402690303154e-16,2.4868995751603507e-14,1.6688391357569995e-16,5.743901634600062e-16,2.4868995751603507e-14,True,True,
linear2_final_logits,"[1, 256, 32, 32]",,1.702725111317096,47.0854370538903,0,0,logical_plain_vs_gl_layout_plain,2.7592987697598864e-16,2.1316282072803006e-14,1.519549181756735e-16,4.698327304896529e-16,2.1316282072803006e-14,True,True,
unpacked_logits,"[8192, 10]",,3.0459272767207386,47.0854370538903,0,0,logical_plain_vs_gl_layout_plain,2.7592987697598864e-16,2.1316282072803006e-14,4.862557381621552e-16,8.404623387433615e-16,2.1316282072803006e-14,True,True,
encrypted_decrypted_linear1_block_outputs,"[1, 256, 32, 32]",5,2.0339199681973086,30.929072957281562,0,0,gl_layout_plain_vs_encrypted_decrypted,5.873446140136817e-08,3.2686049067365275e-06,7.73509064154607e-08,1.194611938655568e-07,3.2686049067365275e-06,False,True,[5]
linear1_accumulated_output,"[8192, 32]",5,2.0339199681973086,30.929072957281562,0,0,gl_layout_plain_vs_encrypted_decrypted,5.8734461401368157e-08,3.2686049067365275e-06,7.73509064154607e-08,1.194611938655568e-07,3.2686049067365275e-06,False,True,[5]
activation_output,"[8192, 32]",2,1.6639632168993417,49.23442026935856,0,0,gl_layout_plain_vs_encrypted_decrypted,6.316299920785874e-08,1.0680924908967881e-05,4.610471365142483e-08,1.0510090735091912e-07,1.0680924908967881e-05,True,True,[2]
linear2_final_logits,"[1, 256, 32, 32]",1,1.702725111317096,47.085437053890324,0,0,gl_layout_plain_vs_encrypted_decrypted,1.2375663182877947e-07,1.3980596063642997e-05,1.265138902636677e-07,2.1072352470688737e-07,1.3980596063642997e-05,False,False,[1]
unpacked_logits,"[8192, 10]",1,3.0459272767207386,47.085437053890324,0,0,gl_layout_plain_vs_encrypted_decrypted,8.224364100975073e-08,9.210851864338565e-06,1.5252339960584417e-07,2.5050814948842804e-07,9.210851864338565e-06,False,True,[1]
