stage,shape,level,rms_plain,max_abs_plain,nan_count,inf_count,comparison,relative_l2,linf,mae,rms_error,max_abs_error,allclose_rtol_1e-5_atol_1e-6,allclose_rtol_1e-4_atol_1e-5,levels
logical_plain.packed_input_blocks,"[3, 256, 32, 32]",,0.5001887919954641,2.5036176159544983,0,0,summary,,,,,,,,
packed_input_blocks,"[3, 256, 32, 32]",6,0.5001887919954641,2.5036176159544983,0,0,gl_layout_plain_vs_encrypted_decrypted,6.025945495670743e-10,1.5305799960785293e-09,2.40490186039606e-10,3.014110398110058e-10,1.5305799960785293e-09,True,True,"[6, 6, 6]"
linear1_block_outputs,"[2, 256, 32, 32]",,0.25284143696620814,1.2929699711772873,0,0,logical_plain_vs_gl_layout_plain,3.4330551209327897e-16,9.992007221626409e-16,5.94087181237426e-17,8.680185899608463e-17,9.992007221626409e-16,True,True,
linear1_accumulated_output,"[8192, 64]",,0.25284143696620814,1.2929699711772873,0,0,logical_plain_vs_gl_layout_plain,3.4330551209327897e-16,9.992007221626409e-16,5.94087181237426e-17,8.680185899608463e-17,9.992007221626409e-16,True,True,
activation_output,"[8192, 64]",,0.316447732568654,1.1889542272105251,0,0,logical_plain_vs_gl_layout_plain,1.6032306524449395e-16,8.881784197001252e-16,2.9675852246613616e-17,5.0733870475076486e-17,8.881784197001252e-16,True,True,
linear2_final_logits,"[1, 256, 32, 32]",,0.09381305028387417,0.5597675085731534,0,0,logical_plain_vs_gl_layout_plain,3.433205662562397e-16,4.440892098500626e-16,1.3114005626129943e-17,3.2207949545684765e-17,4.440892098500626e-16,True,True,
unpacked_logits,"[8192, 10]",,0.16781788608907885,0.5597675085731534,0,0,logical_plain_vs_gl_layout_plain,3.433205662562397e-16,4.440892098500626e-16,4.196481800361582e-17,5.761533168002768e-17,4.440892098500626e-16,True,True,
encrypted_decrypted_linear1_block_outputs,"[2, 256, 32, 32]",5,0.25284143696620814,1.2929699711772882,0,0,gl_layout_plain_vs_encrypted_decrypted,2.7252754827545783e-07,7.958716476894057e-07,4.8630451335058256e-08,6.890625691884445e-08,7.958716476894057e-07,True,True,"[5, 5]"
linear1_accumulated_output,"[8192, 64]",5,0.25284143696620814,1.2929699711772882,0,0,gl_layout_plain_vs_encrypted_decrypted,2.725275482754579e-07,7.958716476894057e-07,4.8630451335058256e-08,6.890625691884444e-08,7.958716476894057e-07,True,True,"[5, 5]"
activation_output,"[8192, 64]",2,0.316447732568654,1.188954227210526,0,0,gl_layout_plain_vs_encrypted_decrypted,1.2870462915840704e-07,4.2738015770815707e-07,2.852942818860462e-08,4.072828806826736e-08,4.2738015770815707e-07,True,True,"[2, 2]"
linear2_final_logits,"[1, 256, 32, 32]",1,0.09381305028387417,0.5597675085731535,0,0,gl_layout_plain_vs_encrypted_decrypted,5.550645988519501e-07,4.94364956586525e-07,3.6992705419131835e-08,5.207230312289642e-08,4.94364956586525e-07,True,True,[1]
unpacked_logits,"[8192, 10]",1,0.16781788608907885,0.5597675085731535,0,0,gl_layout_plain_vs_encrypted_decrypted,3.3163428488317477e-07,3.7620513129721367e-07,4.078611416335418e-08,5.565416464375774e-08,3.7620513129721367e-07,True,True,[1]
